No,Categories,Question,Ans1(A),Ans2(B),Ans3(C),Ans4(D),Ans,Duration(seconds)
1,Java,2 x 2 = ?,2,3,4,5,C,30
2,Java,2 x 3 = ?,2,3,4,6,D,30
3,Java,2 x 4 = ?,5,6,7,8,D,30
4,Java,2 + 5 = ?,2,3,4,7,D,30
5,Java,2 + 6 = ?,2,3,8,5,C,30
6,Java,2 + 7 = ?,5,9,7,8,B,30
7,Java,2 + 5 = ?,2,3,4,7,D,30
8,Java,2 + 6 = ?,2,3,8,5,C,30
9,Java,2 + 7 = ?,5,9,7,8,B,30
10,Python,2 x 5 = ?,2,3,4,10,D,30
11,Python,2 x 6 = ?,12,3,8,5,A,30
12,Python,2 x 7 = ?,5,14,7,8,B,30
13,Python,2 x 5 = ?,2,3,10,7,C,30
14,Python,2 x 6 = ?,12,3,8,5,A,30
15,C#,2 x 7 = ?,5,9,14,8,C,30
16,C#,2 x 5 = ?,2,10,4,7,B,30
17,C#,2 x 6 = ?,12,3,8,5,A,30
18,Nodejs,12 / 3 = ?,5,4,7,8,B,30
19,Nodejs,12 / 4 = ?,2,3,4,7,B,30
20,Nodejs,20 + 6 = ?,2,3,26,5,C,30
21,Angular,2 x 7 - 5 = ?,5,9,7,8,B,30
